Año,Autoridad Portuaria,Graneles Líquidos,Graneles Sólidos,Mercancía General,Pesca Fresca,Avitua- llamiento,Tráfico Local,TOTAL TRAFICO,TEUS,Buques
2001,Ceuta ,795140,97310,813408,443,720476,0,2426777,14266,9685
2001,Ferrol-S. Cibrao  ,728049,7371977,611276,277,16537,337,8728453,39,1029
2001,Gijón,1338838,17024192,573033,8741,143914,114355,19203073,18351,1069
2001,Huelva,12136770,5477192,939743,6333,103364,0,18663402,0,1678
2001,Las Palmas,4627045,1644032,9691160,14467,2045414,0,18022118,675711,10690
2001,Málaga,90418,1304739,413057,5427,112147,48,1925836,3408,1118
2001,Marín y Ría de Pontevedra,0,872043,937572,6714,89572,3,1905904,35488,1241
2001,Melilla,86347,64442,591352,0,18653,0,760794,15614,1011
2001,Pasaia,251600,2734618,1673112,13699,46962,0,4719991,0,1550
2001,Santa Cruz de Tenerife,8547432,1464299,6084965,2831,1031991,0,17131518,402894,15619
2001,Santander,388545,3698545,1009528,7639,72185,0,5176442,1352,1682
2001,Sevilla,264471,2957558,1643525,0,10634,16571,4892759,101410,1449
2001,Tarragona,16980197,8726684,964140,7312,219716,20,26898069,39064,2589
2001,Valencia,1742908,5299794,21421983,3921,224421,0,28693027,1506805,6912
2001,Vigo,51726,697906,2949734,79696,332310,596,4111968,141330,2455
2001,Vilagarcía,317282,431432,267572,0,8230,0,1024516,0,403
2000,A Coruña,7632430,3726790,295934,43698,137386,778244,12614482,2,1298
2000,Alicante,161354,1514410,1305408,9402,55953,0,3046527,113110,1336
2000,Almería-Motril,991464,7337329,546561,7655,80833,0,8963842,255,2426
2000,Avilés,650433,2329022,1094663,12356,51132,0,4137606,12,901
2000,Bahía de Algeciras,18204702,2827679,22984026,9032,2151481,1382897,47559817,2009122,19005
2000,Bahía de Cádiz,216551,1774588,2498529,29471,124371,9894,4653404,76361,2187
2000,Baleares,1622395,1882177,6725782,3038,272723,68317,10574432,282451,9421
2000,Barcelona,8965673,3254239,17584980,5726,349762,0,30160380,1387570,9138
2000,Bilbao,14764325,4452656,8302125,11,129046,990807,28638970,434362,3795
2000,Cartagena,13750893,2999673,481117,2863,102984,11383,17348913,39501,1559
2000,Castellón,7670328,1562649,612045,15532,28466,0,9889020,19783,1052
2000,Ceuta ,1479054,64171,722736,283,629812,0,2896056,11480,11533
2000,Ferrol-S. Cibrao  ,822623,7045159,588313,147,32213,10142,8498597,63,1015
2000,Gijón,1451477,17417568,616097,7006,184508,130326,19806982,19204,1084
2000,Huelva,11665246,5207146,933774,5996,58351,0,17870513,0,1837
2000,Las Palmas,4129067,1433700,8737189,5036,1901141,0,16206133,621104,12602
2000,Málaga,1997530,1253343,395341,5883,113251,122,3765470,4062,1574
2000,Marín y Ría de Pontevedra,0,703709,862942,8182,109009,23,1683865,29147,944
2000,Melilla,85803,63482,633334,0,19315,0,801934,18049,1042
2000,Pasaia,159900,2815682,1629640,14682,51473,0,4671377,0,1560
2000,Santa Cruz de Tenerife,8528523,1501641,5850820,2709,1090545,0,16974238,393371,18967
2000,Santander,378525,3642889,1240386,7018,80045,0,5348863,3358,1600
2000,Sevilla,262141,2695424,1522394,0,7291,4943,4492193,91095,1410
2000,Tarragona,17190390,9235030,931602,7678,208032,0,27572732,44855,2582
2000,Valencia,1740575,4638486,18839326,2905,172875,0,25394167,1308010,6977
2000,Vigo,44600,504171,2961870,75828,289678,670,3876817,145460,2554
2000,Vilagarcía,279120,421105,289401,0,11938,0,1001564,0,391
1999,A Coruña,7406731,3348952,267142,46304,159902,892951,12121982,442,1282
1999,Alicante,170973,1647425,1118539,13259,47882,0,2998078,96136,1407
1999,Almería-Motril,957752,7261803,554688,7793,86735,0,8868771,126,2260
1999,Avilés,667640,1883794,889646,15423,57785,0,3514288,142,839
1999,Bahía de Algeciras,17341351,2603557,22101625,13905,2033808,1285247,45379493,1832557,20393
1999,Bahía de Cádiz,169498,1171195,2371826,36993,287187,29298,4065997,61206,2252
1999,Baleares,1437320,1952689,5953710,3466,16433,77145,9440763,272398,9884
